exposure,age,gender,years_fu,external_accident,external_suicide,other,total
FALSE,18,female,1045.106092,0,0,1,1
FALSE,18,male,1381.645448,0,1,0,1
FALSE,19,female,1843.641342,0,0,0,0
FALSE,19,male,2676.865161,0,0,1,1
FALSE,20,female,3065.57974,0,0,1,1
FALSE,20,male,4569.724846,2,0,4,6
FALSE,21,female,4752.856947,0,0,0,0
FALSE,21,male,7216.569473,1,2,0,3
FALSE,22,female,6753.924709,0,0,2,2
FALSE,22,male,10461.44559,1,3,2,6
FALSE,23,female,9028.279261,1,0,0,1
FALSE,23,male,14311.15674,3,1,2,6
FALSE,24,female,11602.32717,0,2,4,6
FALSE,24,male,18917.6783,6,2,8,16
FALSE,25,female,14313.3525,0,0,1,1
FALSE,25,male,24114.28063,4,6,7,17
FALSE,26,female,17186.82272,1,0,2,3
FALSE,26,male,29953.28953,16,2,11,29
FALSE,27,female,20073.59069,2,0,7,9
FALSE,27,male,36300.31759,2,5,20,27
FALSE,28,female,23046.26146,2,1,4,7
FALSE,28,male,43036.61054,6,7,16,29
FALSE,29,female,25807.84394,2,1,5,8
FALSE,29,male,49781.18823,10,4,18,32
FALSE,30,female,28467.57016,2,1,7,10
FALSE,30,male,56494.94045,11,12,18,41
FALSE,31,female,30819.89596,1,3,12,16
FALSE,31,male,63273.85079,13,10,30,53
FALSE,32,female,32990.60917,1,3,8,12
FALSE,32,male,70034.86379,14,14,23,51
FALSE,33,female,34629.9165,1,1,11,13
FALSE,33,male,76109.77687,10,15,36,61
FALSE,34,female,35941.53593,0,1,14,15
FALSE,34,male,81614.90212,12,15,47,74
FALSE,35,female,36823.28268,2,0,19,21
FALSE,35,male,86146.30253,16,12,50,78
FALSE,36,female,37452.19986,4,1,13,18
FALSE,36,male,89809.91376,14,15,41,70
FALSE,37,female,37254.95414,4,1,25,30
FALSE,37,male,91619.17043,17,16,62,95
FALSE,38,female,36455.03628,3,4,24,31
FALSE,38,male,92075.62218,16,19,51,86
FALSE,39,female,35277.63723,0,3,32,35
FALSE,39,male,91164.36413,15,17,76,108
FALSE,40,female,34021.34428,1,0,22,23
FALSE,40,male,89883.86311,21,20,59,100
FALSE,41,female,32640.3258,2,0,25,27
FALSE,41,male,87630.00137,14,11,76,101
FALSE,42,female,31266.8501,2,3,26,31
FALSE,42,male,85251.32923,8,15,121,144
FALSE,43,female,29852.84873,2,1,27,30
FALSE,43,male,81904.30938,8,16,109,133
FALSE,44,female,28258.31075,3,3,36,42
FALSE,44,male,78225.15264,10,14,114,138
FALSE,45,female,26461.46475,4,1,34,39
FALSE,45,male,73607.14853,11,11,114,136
FALSE,46,female,24908.62697,3,3,25,31
FALSE,46,male,68491.67146,15,9,127,151
FALSE,47,female,23214.2642,3,2,26,31
FALSE,47,male,62996.91444,9,13,136,158
FALSE,48,female,21518.17112,1,2,25,28
FALSE,48,male,57673.62902,9,11,123,143
FALSE,49,female,19734.41205,1,1,34,36
FALSE,49,male,52176.71732,5,6,143,154
FALSE,50,female,18097.08966,3,0,46,49
FALSE,50,male,47243.5373,7,11,123,141
FALSE,51,female,16572.57495,1,1,29,31
FALSE,51,male,42563.32101,3,11,122,136
FALSE,52,female,15047.96441,1,0,39,40
FALSE,52,male,38022.52977,5,7,101,113
FALSE,53,female,13576.20534,2,2,30,34
FALSE,53,male,33386.47502,6,6,108,120
FALSE,54,female,12142.28337,1,0,43,44
FALSE,54,male,29268.87611,5,9,117,131
FALSE,55,female,10847.27995,0,1,32,33
FALSE,55,male,25640.75565,2,8,122,132
FALSE,56,female,9747.531828,2,1,34,37
FALSE,56,male,22416.14511,6,9,107,122
FALSE,57,female,8754.324435,2,1,31,34
FALSE,57,male,19516.20808,1,6,103,110
FALSE,58,female,7948.851472,2,1,40,43
FALSE,58,male,17116.45722,4,1,95,100
FALSE,59,female,7239.739904,2,2,36,40
FALSE,59,male,15124.43532,1,1,82,84
FALSE,60,female,6601.32512,0,1,42,43
FALSE,60,male,13451.91239,2,2,88,92
FALSE,61,female,6071.906913,3,1,38,42
FALSE,61,male,11890.02327,1,2,90,93
FALSE,62,female,5640.813142,1,0,33,34
FALSE,62,male,10568.67077,5,0,105,110
FALSE,63,female,5146.053388,0,0,41,41
FALSE,63,male,9293.568789,3,0,104,107
FALSE,64,female,4645.691992,0,0,35,35
FALSE,64,male,8135.104723,0,0,80,80
FALSE,65,female,4143.813826,0,0,26,26
FALSE,65,male,6971.753593,3,2,88,93
FALSE,66,female,3654.401095,1,0,28,29
FALSE,66,male,5909.817933,2,0,71,73
FALSE,67,female,3149.185489,1,0,36,37
FALSE,67,male,4920.128679,0,0,71,71
FALSE,68,female,2666.097194,0,2,31,33
FALSE,68,male,4006.335387,0,0,50,50
FALSE,69,female,2206.86653,1,0,18,19
FALSE,69,male,3188.084873,2,0,47,49
FALSE,70,female,1825.44011,1,0,19,20
FALSE,70,male,2513.7577,0,0,54,54
FALSE,71,female,1492.167009,0,0,18,18
FALSE,71,male,1876.383299,1,0,37,38
FALSE,72,female,1200.062971,0,0,12,12
FALSE,72,male,1403.559206,0,0,29,29
FALSE,73,female,960.991102,0,0,20,20
FALSE,73,male,1082.294319,0,0,17,17
FALSE,74,female,748.7173169,0,0,9,9
FALSE,74,male,831.7809719,0,0,22,22
FALSE,75,female,560.3997262,0,0,12,12
FALSE,75,male,620.7583847,0,0,22,22
FALSE,76,female,419.5728953,2,0,12,14
FALSE,76,male,434.2313484,0,0,15,15
FALSE,77,female,318.1848049,0,0,6,6
FALSE,77,male,308.5147159,0,0,11,11
FALSE,78,female,239.2060233,0,0,8,8
FALSE,78,male,219.8302533,0,0,2,2
FALSE,79,female,177.8151951,0,0,4,4
FALSE,79,male,154.5954825,0,0,7,7
FALSE,80,female,358.7378508,0,0,20,20
FALSE,80,male,218.2422998,0,0,16,16
TRUE,18,female,93.71115674,0,0,0,0
TRUE,18,male,123.9206023,0,0,0,0
TRUE,19,female,416.1615332,0,0,0,0
TRUE,19,male,508.6132786,1,1,1,3
TRUE,20,female,875.0390144,0,1,3,4
TRUE,20,male,1155.041752,2,3,3,8
TRUE,21,female,1449.322382,1,2,3,6
TRUE,21,male,2026.272416,6,1,14,21
TRUE,22,female,2167.622177,2,2,4,8
TRUE,22,male,3122.737851,7,5,10,22
TRUE,23,female,2947.293634,3,7,6,16
TRUE,23,male,4457.475702,19,3,16,38
TRUE,24,female,3821.664613,4,1,8,13
TRUE,24,male,6049.322382,16,3,13,32
TRUE,25,female,4732.919918,6,6,3,15
TRUE,25,male,7792.821355,27,6,35,68
TRUE,26,female,5753.87269,13,0,11,24
TRUE,26,male,9765.500342,34,6,37,77
TRUE,27,female,6745.976728,5,4,8,17
TRUE,27,male,11906.46954,30,10,49,89
TRUE,28,female,7774.507871,15,4,15,34
TRUE,28,male,14157.05955,58,14,40,112
TRUE,29,female,8660.424367,15,4,20,39
TRUE,29,male,16389.82615,43,19,40,102
TRUE,30,female,9429.615332,20,3,28,51
TRUE,30,male,18579.154,53,23,57,133
TRUE,31,female,10218.73238,13,8,29,50
TRUE,31,male,20802.73238,58,13,74,145
TRUE,32,female,10920.846,23,8,28,59
TRUE,32,male,22988.53114,96,18,74,188
TRUE,33,female,11466.81451,21,12,43,76
TRUE,33,male,24988.36413,68,27,94,189
TRUE,34,female,11943.47159,30,16,38,84
TRUE,34,male,26730.05065,114,29,102,245
TRUE,35,female,12116.2026,33,12,51,96
TRUE,35,male,28229.10609,119,32,86,237
TRUE,36,female,12191.87406,31,12,62,105
TRUE,36,male,29444.01369,115,31,112,258
TRUE,37,female,12101.62355,28,13,77,118
TRUE,37,male,29909.52225,140,33,145,318
TRUE,38,female,11807.69336,37,13,66,116
TRUE,38,male,29787.154,154,41,152,347
TRUE,39,female,11334.23409,49,9,69,127
