exposure,ag,gender,years_fu,external_accident,external_suicide,other,total
FALSE,18,female,1045.106091718,0,0,1,1
FALSE,18,male,1381.64544832307,0,1,0,1
FALSE,19,female,1843.64134154689,0,0,0,0
FALSE,19,male,2676.86516084873,0,0,1,1
FALSE,20,female,3065.57973990418,0,0,1,1
FALSE,20,male,4569.72484599589,2,0,4,6
FALSE,21,female,4752.85694729637,0,0,0,0
FALSE,21,male,7216.56947296372,1,2,0,3
FALSE,22,female,6753.92470910335,0,0,2,2
FALSE,22,male,10461.4455852156,1,3,2,6
FALSE,23,female,9028.27926078029,1,0,0,1
FALSE,23,male,14311.1567419576,3,1,2,6
FALSE,24,female,11602.3271731691,0,2,4,6
FALSE,24,male,18917.6783025325,6,2,8,16
FALSE,25,female,14313.3524982888,0,0,1,1
FALSE,25,male,24114.2806297057,4,6,7,17
FALSE,26,female,17186.8227241615,1,0,2,3
FALSE,26,male,29953.2895277207,16,2,11,29
FALSE,27,female,20073.5906913073,2,0,7,9
FALSE,27,male,36300.3175906913,2,5,20,27
FALSE,28,female,23046.2614647502,2,1,4,7
FALSE,28,male,43036.6105407255,6,7,16,29
FALSE,29,female,25807.8439425051,2,1,5,8
FALSE,29,male,49781.1882272416,10,4,18,32
FALSE,30,female,28467.5701574264,2,1,7,10
FALSE,30,male,56494.9404517454,11,12,18,41
FALSE,31,female,30819.8959616701,1,3,12,16
FALSE,31,male,63273.8507871321,13,10,30,53
FALSE,32,female,32990.6091718001,1,3,8,12
FALSE,32,male,70034.8637919234,14,14,23,51
FALSE,33,female,34629.916495551,1,1,11,13
FALSE,33,male,76109.7768651609,10,15,36,61
FALSE,34,female,35941.5359342916,0,1,14,15
FALSE,34,male,81614.9021218344,12,15,47,74
FALSE,35,female,36823.2826830938,2,0,19,21
FALSE,35,male,86146.302532512,16,12,50,78
FALSE,36,female,37452.1998631075,4,1,13,18
FALSE,36,male,89809.9137577002,14,15,41,70
FALSE,37,female,37254.9541409993,4,1,25,30
FALSE,37,male,91619.1704312115,17,16,62,95
FALSE,38,female,36455.0362765229,3,4,24,31
FALSE,38,male,92075.6221765914,16,19,51,86
FALSE,39,female,35277.6372347707,0,3,32,35
FALSE,39,male,91164.3641341547,15,17,76,108
FALSE,40,female,34021.3442847365,1,0,22,23
FALSE,40,male,89883.8631074606,21,20,59,100
FALSE,41,female,32640.3258042437,2,0,25,27
FALSE,41,male,87630.0013689254,14,11,76,101
FALSE,42,female,31266.8501026694,2,3,26,31
FALSE,42,male,85251.3292265572,8,15,121,144
FALSE,43,female,29852.848733744,2,1,27,30
FALSE,43,male,81904.309377139,8,16,109,133
FALSE,44,female,28258.3107460643,3,3,36,42
FALSE,44,male,78225.1526351814,10,14,114,138
FALSE,45,female,26461.4647501711,4,1,34,39
FALSE,45,male,73607.1485284052,11,11,114,136
FALSE,46,female,24908.6269678303,3,3,25,31
FALSE,46,male,68491.6714579055,15,9,127,151
FALSE,47,female,23214.264202601,3,2,26,31
FALSE,47,male,62996.9144421629,9,13,136,158
FALSE,48,female,21518.1711156742,1,2,25,28
FALSE,48,male,57673.6290212183,9,11,123,143
FALSE,49,female,19734.4120465435,1,1,34,36
FALSE,49,male,52176.7173169062,5,6,143,154
FALSE,50,female,18097.0896646133,3,0,46,49
FALSE,50,male,47243.537303217,7,11,123,141
FALSE,51,female,16572.5749486653,1,1,29,31
FALSE,51,male,42563.3210130048,3,11,122,136
FALSE,52,female,15047.9644079398,1,0,39,40
FALSE,52,male,38022.5297741273,5,7,101,113
FALSE,53,female,13576.205338809,2,2,30,34
FALSE,53,male,33386.4750171116,6,6,108,120
FALSE,54,female,12142.2833675565,1,0,43,44
FALSE,54,male,29268.8761122519,5,9,117,131
FALSE,55,female,10847.279945243,0,1,32,33
FALSE,55,male,25640.7556468173,2,8,122,132
FALSE,56,female,9747.5318275154,2,1,34,37
FALSE,56,male,22416.1451060917,6,9,107,122
FALSE,57,female,8754.32443531827,2,1,31,34
FALSE,57,male,19516.2080766598,1,6,103,110
FALSE,58,female,7948.8514715948,2,1,40,43
FALSE,58,male,17116.4572210815,4,1,95,100
FALSE,59,female,7239.73990417522,2,2,36,40
FALSE,59,male,15124.4353182752,1,1,82,84
FALSE,60,female,6601.32511978097,0,1,42,43
FALSE,60,male,13451.9123887748,2,2,88,92
FALSE,61,female,6071.90691307324,3,1,38,42
FALSE,61,male,11890.0232717317,1,2,90,93
FALSE,62,female,5640.81314168378,1,0,33,34
FALSE,62,male,10568.6707734428,5,0,105,110
FALSE,63,female,5146.05338809035,0,0,41,41
FALSE,63,male,9293.56878850103,3,0,104,107
FALSE,64,female,4645.69199178645,0,0,35,35
FALSE,64,male,8135.10472279261,0,0,80,80
FALSE,65,female,4143.81382614647,0,0,26,26
FALSE,65,male,6971.75359342916,3,2,88,93
FALSE,66,female,3654.40109514031,1,0,28,29
FALSE,66,male,5909.81793292266,2,0,71,73
FALSE,67,female,3149.18548939083,1,0,36,37
FALSE,67,male,4920.128678987,0,0,71,71
FALSE,68,female,2666.09719370294,0,2,31,33
FALSE,68,male,4006.33538672142,0,0,50,50
FALSE,69,female,2206.86652977413,1,0,18,19
FALSE,69,male,3188.0848733744,2,0,47,49
FALSE,70,female,1825.44010951403,1,0,19,20
FALSE,70,male,2513.75770020534,0,0,54,54
FALSE,71,female,1492.16700889802,0,0,18,18
FALSE,71,male,1876.3832991102,1,0,37,38
FALSE,72,female,1200.0629705681,0,0,12,12
FALSE,72,male,1403.55920602327,0,0,29,29
FALSE,73,female,960.991101984942,0,0,20,20
FALSE,73,male,1082.29431895962,0,0,17,17
FALSE,74,female,748.717316906229,0,0,9,9
FALSE,74,male,831.78097193703,0,0,22,22
FALSE,75,female,560.399726214921,0,0,12,12
FALSE,75,male,620.758384668036,0,0,22,22
FALSE,76,female,419.572895277207,2,0,12,14
FALSE,76,male,434.231348391513,0,0,15,15
FALSE,77,female,318.184804928131,0,0,6,6
FALSE,77,male,308.514715947981,0,0,11,11
FALSE,78,female,239.206023271732,0,0,8,8
FALSE,78,male,219.830253251198,0,0,2,2
FALSE,79,female,177.815195071869,0,0,4,4
FALSE,79,male,154.595482546201,0,0,7,7
FALSE,80,female,358.737850787132,0,0,20,20
FALSE,80,male,218.242299794661,0,0,16,16
TRUE,18,female,93.7111567419576,0,0,0,0
TRUE,18,male,123.920602327173,0,0,0,0
TRUE,19,female,416.161533196441,0,0,0,0
TRUE,19,male,508.613278576318,1,1,1,3
